UTC,Latitude,Longitude,Altitude
044633.00,100.92716300027554,86.57253399935344,153.6
044634.00,102.02794400027733,89.91935299975212,150.2
044635.00,103.64019899999903,93.68869399958966,146.9
044636.00,104.66314700045014,97.76936699965245,143.7
044637.00,106.16421200045257,101.36080399993917,140.1
044638.00,107.49849200011764,104.96335999994498,136.5
044639.00,109.02179500006392,109.2997699996149,132.6
044640.00,110.31159900034692,113.65841799872307,128.6
044641.00,111.59028400040516,117.46111599974046,124.9
044642.00,112.52428000006957,121.84200199828683,121.0
044643.00,113.49163300040821,126.65652900003624,117.2
044644.00,114.48122400018511,131.1041289989198,113.0
044645.00,115.59312400041162,136.04096499960195,109.4
044646.00,116.58271500018849,141.12234799865507,105.7
044647.00,116.79397600041355,145.792328000011,102.3
044648.00,116.02676500007523,150.94042499940133,98.7
044649.00,115.04829300001747,155.0989309995204,95.1
044650.00,113.6806560001838,158.42351199845834,91.4
044651.00,112.00168700012492,161.21438099874374,87.8
044652.00,110.12257600006569,164.28322499807456,84.1
044653.00,108.64374900000712,167.11856999925894,80.3
044654.00,106.77575700017263,168.85313399993592,76.6
044655.00,104.97447900016972,171.5661699981425,73.2
044656.00,104.52971900028136,171.52169399926606,69.9
044657.00,103.91817400005567,171.4883369980862,67.3
044658.00,103.5067710003359,171.54393199870427,64.6
044659.00,102.66172700044689,171.22148099875992,62.1
044700.00,102.33927599999693,171.1102909995463,59.5
044701.00,101.86115900044561,171.25483799993978,57.2
044702.00,101.81668300005225,171.24371899819818,54.7
044703.00,101.77220700016456,171.47721799836708,52.2
044704.00,101.3385659999953,171.76631199915408,49.7
044705.00,100.58247400038735,171.42162299977153,47.5
044706.00,100.01540500004934,171.53281299898518,45.1
044707.00,99.77078700016132,171.37714699887258,42.8
044708.00,100.1488330002181,171.13252899898453,40.6
044709.00,100.15995200044286,171.16588599814187,38.1
044710.00,100.0376429999932,171.16588599814187,35.8
044711.00,99.90421500033007,171.42162299977153,33.3
044712.00,99.81526300004901,171.74407399971585,30.8
044713.00,99.48169300038558,171.78854999859234,28.4
044714.00,99.20371800032895,171.9219779992667,26.2
044715.00,99.2370749999919,172.03316799848034,24.0
044716.00,99.60400200032959,171.87750199836773,22.0
044717.00,99.35938400044157,171.63288399847968,19.9
044718.00,98.94798100021616,171.6217649987606,18.0
044719.00,98.64776800021568,171.53281299898518,16.2
